Komoditas;Tahun;Bulan;Harga
Sapi Hidup (Rp/kg Berat Hidup);2023;September;Rp51.505
Ayam Ras (Rp/Ekor Hidup);2023;September;Rp21.917
Telur Ayam Ras (Rp/Kg);2023;September;Rp23.962
GKP Tingkat Petani (Rp/Kg);2023;Oktober;Rp5.826
GKP Tingkat Penggilingan (Rp/Kg);2023;Oktober;Rp6.132
GKG Tingkat Penggilingan (Rp/Kg);2023;Oktober;Rp6.674
Beras Medium Tk. Penggilingan (Rp/Kg);2023;Oktober;Rp10.794
Beras Premium Tk. Penggilingan (Rp/Kg);2023;Oktober;Rp11.916
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2023;Oktober;Rp4.778
Kedelai Biji Kering Tk. Petani (Rp/Kg);2023;Oktober;Rp10.494
Cabai Merah Keriting Tk.Petani (rp/Kg);2023;Oktober;Rp28.511
Cabai Rawit Merah Tk. Petani (Rp/Kg);2023;Oktober;Rp33.365
Bawang Merah Tk. Petani (Rp/Kg);2023;Oktober;Rp16.418
Sapi Hidup (Rp/kg Berat Hidup);2023;Oktober;Rp51.280
Ayam Ras (Rp/Ekor Hidup);2023;Oktober;Rp21.147
Telur Ayam Ras (Rp/Kg);2023;Oktober;Rp22.889
GKP Tingkat Petani (Rp/Kg);2023;November;Rp6.666
GKP Tingkat Penggilingan (Rp/Kg);2023;November;Rp6.984
GKG Tingkat Penggilingan (Rp/Kg);2023;November;Rp7.676
Beras Medium Tk. Penggilingan (Rp/Kg);2023;November;Rp12.256
Beras Premium Tk. Penggilingan (Rp/Kg);2023;November;Rp13.411
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2023;November;Rp5.613
Kedelai Biji Kering Tk. Petani (Rp/Kg);2023;November;Rp11.139
Cabai Merah Keriting Tk.Petani (rp/Kg);2023;November;Rp50.209
Cabai Rawit Merah Tk. Petani (Rp/Kg);2023;November;Rp60.039
Bawang Merah Tk. Petani (Rp/Kg);2023;November;Rp16.217
Sapi Hidup (Rp/kg Berat Hidup);2023;November;Rp51.428
Ayam Ras (Rp/Ekor Hidup);2023;November;Rp21.203
Telur Ayam Ras (Rp/Kg);2023;November;Rp23.657
GKP Tingkat Petani (Rp/Kg);2023;Desember;Rp6.728
GKP Tingkat Penggilingan (Rp/Kg);2023;Desember;-
GKG Tingkat Penggilingan (Rp/Kg);2023;Desember;Rp7.701
Beras Medium Tk. Penggilingan (Rp/Kg);2023;Desember;Rp12.285
Beras Premium Tk. Penggilingan (Rp/Kg);2023;Desember;Rp13.451
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2023;Desember;Rp5.718
Kedelai Biji Kering Tk. Petani (Rp/Kg);2023;Desember;Rp11.067
Cabai Merah Keriting Tk.Petani (rp/Kg);2023;Desember;Rp48.193
Cabai Rawit Merah Tk. Petani (Rp/Kg);2023;Desember;Rp68.526
Bawang Merah Tk. Petani (Rp/Kg);2023;Desember;Rp21.062
Sapi Hidup (Rp/kg Berat Hidup);2023;Desember;Rp51.379
Ayam Ras (Rp/Ekor Hidup);2023;Desember;Rp21.148
Telur Ayam Ras (Rp/Kg);2023;Desember;Rp23.808
GKP Tingkat Petani (Rp/Kg);2024;Januari;Rp6.807
GKP Tingkat Penggilingan (Rp/Kg);2024;Januari;Rp7.122
GKG Tingkat Penggilingan (Rp/Kg);2024;Januari;Rp7.845
Beras Medium Tk. Penggilingan (Rp/Kg);2024;Januari;Rp12.500
Beras Premium Tk. Penggilingan (Rp/Kg);2024;Januari;Rp13.664
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2024;Januari;Rp6.302
Kedelai Biji Kering Tk. Petani (Rp/Kg);2024;Januari;Rp11.291
Cabai Merah Keriting Tk.Petani (rp/Kg);2024;Januari;Rp35.607
Cabai Rawit Merah Tk. Petani (Rp/Kg);2024;Januari;Rp38.621
Bawang Merah Tk. Petani (Rp/Kg);2024;Januari;Rp21.958
Sapi Hidup (Rp/kg Berat Hidup);2024;Januari;Rp51.570
Ayam Ras (Rp/Ekor Hidup);2024;Januari;Rp21.401
Telur Ayam Ras (Rp/Kg);2024;Januari;Rp23.418
GKP Tingkat Petani (Rp/Kg);2024;Februari;Rp7.111
GKP Tingkat Penggilingan (Rp/Kg);2024;Februari;Rp7.421
GKG Tingkat Penggilingan (Rp/Kg);2024;Februari;Rp8.204
Beras Medium Tk. Penggilingan (Rp/Kg);2024;Februari;Rp13.264
Beras Premium Tk. Penggilingan (Rp/Kg);2024;Februari;Rp14.440
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2024;Februari;Rp6.711
Kedelai Biji Kering Tk. Petani (Rp/Kg);2024;Februari;Rp10.925
Cabai Merah Keriting Tk.Petani (rp/Kg);2024;Februari;Rp48.682
Cabai Rawit Merah Tk. Petani (Rp/Kg);2024;Februari;Rp37.873
Bawang Merah Tk. Petani (Rp/Kg);2024;Februari;Rp19.989
Sapi Hidup (Rp/kg Berat Hidup);2024;Februari;Rp51.716
Ayam Ras (Rp/Ekor Hidup);2024;Februari;Rp21.997
Telur Ayam Ras (Rp/Kg);2024;Februari;Rp24.651
GKP Tingkat Petani (Rp/Kg);2024;Maret;Rp6.751
GKP Tingkat Penggilingan (Rp/Kg);2024;Maret;Rp7.100
GKG Tingkat Penggilingan (Rp/Kg);2024;Maret;Rp7.968
Beras Medium Tk. Penggilingan (Rp/Kg);2024;Maret;Rp13.293
Beras Premium Tk. Penggilingan (Rp/Kg);2024;Maret;Rp14.560
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2024;Maret;Rp5.312
Kedelai Biji Kering Tk. Petani (Rp/Kg);2024;Maret;Rp10.520
Cabai Merah Keriting Tk.Petani (rp/Kg);2024;Maret;Rp43.142
Cabai Rawit Merah Tk. Petani (Rp/Kg);2024;Maret;Rp37.779
Bawang Merah Tk. Petani (Rp/Kg);2024;Maret;Rp20.639
Sapi Hidup (Rp/kg Berat Hidup);2024;Maret;Rp52.340
Ayam Ras (Rp/Ekor Hidup);2024;Maret;Rp23.595
Telur Ayam Ras (Rp/Kg);2024;Maret;Rp26.687
GKP Tingkat Petani (Rp/Kg);2024;April;Rp5.923
GKP Tingkat Penggilingan (Rp/Kg);2024;April;Rp6.308
GKG Tingkat Penggilingan (Rp/Kg);2024;April;Rp7.142
Beras Medium Tk. Penggilingan (Rp/Kg);2024;April;Rp12.320
Beras Premium Tk. Penggilingan (Rp/Kg);2024;April;Rp13.836
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2024;April;Rp4.669
Kedelai Biji Kering Tk. Petani (Rp/Kg);2024;April;Rp10.637
Cabai Merah Keriting Tk.Petani (rp/Kg);2024;April;Rp31.381
Cabai Rawit Merah Tk. Petani (Rp/Kg);2024;April;Rp29.950
Bawang Merah Tk. Petani (Rp/Kg);2024;April;Rp29.257
Sapi Hidup (Rp/kg Berat Hidup);2024;April;Rp52.684
Ayam Ras (Rp/Ekor Hidup);2024;April;Rp23.585
Telur Ayam Ras (Rp/Kg);2024;April;Rp25.389
GKP Tingkat Petani (Rp/Kg);2024;Mei;Rp5.889
GKP Tingkat Penggilingan (Rp/Kg);2024;Mei;Rp6.280
GKG Tingkat Penggilingan (Rp/Kg);2024;Mei;Rp6.973
Beras Medium Tk. Penggilingan (Rp/Kg);2024;Mei;Rp11.820
Beras Premium Tk. Penggilingan (Rp/Kg);2024;Mei;Rp13.445
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2024;Mei;Rp4.362
Kedelai Biji Kering Tk. Petani (Rp/Kg);2024;Mei;Rp10.517
Cabai Merah Keriting Tk.Petani (rp/Kg);2024;Mei;Rp34.911
Cabai Rawit Merah Tk. Petani (Rp/Kg);2024;Mei;Rp25.385
Bawang Merah Tk. Petani (Rp/Kg);2024;Mei;Rp32.265
Sapi Hidup (Rp/kg Berat Hidup);2024;Mei;Rp52.418
Ayam Ras (Rp/Ekor Hidup);2024;Mei;Rp23.298
Telur Ayam Ras (Rp/Kg);2024;Mei;Rp25.821
GKP Tingkat Petani (Rp/Kg);2024;Juni;Rp6.124
GKP Tingkat Penggilingan (Rp/Kg);2024;Juni;Rp6.522
GKG Tingkat Penggilingan (Rp/Kg);2024;Juni;Rp7.087
Beras Medium Tk. Penggilingan (Rp/Kg);2024;Juni;Rp11.849
Beras Premium Tk. Penggilingan (Rp/Kg);2024;Juni;Rp13.430
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2024;Juni;Rp4.205
Kedelai Biji Kering Tk. Petani (Rp/Kg);2024;Juni;Rp10.304
Cabai Merah Keriting Tk.Petani (rp/Kg);2024;Juni;Rp36.870
Cabai Rawit Merah Tk. Petani (Rp/Kg);2024;Juni;Rp29.123
Bawang Merah Tk. Petani (Rp/Kg);2024;Juni;Rp27.703
Sapi Hidup (Rp/kg Berat Hidup);2024;Juni;Rp52.824
Ayam Ras (Rp/Ekor Hidup);2024;Juni;Rp22.466
Telur Ayam Ras (Rp/Kg);2024;Juni;Rp25.184
GKP Tingkat Petani (Rp/Kg);2024;Juli;Rp6.354
GKP Tingkat Penggilingan (Rp/Kg);2024;Juli;Rp6.743
GKG Tingkat Penggilingan (Rp/Kg);2024;Juli;Rp7.284
Beras Medium Tk. Penggilingan (Rp/Kg);2024;Juli;Rp12.021
Beras Premium Tk. Penggilingan (Rp/Kg);2024;Juli;Rp13.572
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2024;Juli;Rp4.042
Kedelai Biji Kering Tk. Petani (Rp/Kg);2024;Juli;Rp10.328
Cabai Merah Keriting Tk.Petani (rp/Kg);2024;Juli;Rp28.888
Cabai Rawit Merah Tk. Petani (Rp/Kg);2024;Juli;Rp39.991
Bawang Merah Tk. Petani (Rp/Kg);2024;Juli;Rp19.142
Sapi Hidup (Rp/kg Berat Hidup);2024;Juli;Rp52.290
Ayam Ras (Rp/Ekor Hidup);2024;Juli;Rp21.811
Telur Ayam Ras (Rp/Kg);2024;Juli;Rp24.654
GKP Tingkat Petani (Rp/Kg);2024;Agustus;Rp5.526
GKP Tingkat Penggilingan (Rp/Kg);2024;Agustus;Rp5.833
GKG Tingkat Penggilingan (Rp/Kg);2024;Agustus;Rp6.445
Beras Medium Tk. Penggilingan (Rp/Kg);2024;Agustus;Rp10.671
Beras Premium Tk. Penggilingan (Rp/Kg);2024;Agustus;Rp11.836
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2024;Agustus;Rp4.739
Kedelai Biji Kering Tk. Petani (Rp/Kg);2024;Agustus;Rp10.074
Cabai Merah Keriting Tk.Petani (rp/Kg);2024;Agustus;Rp32.867
Cabai Rawit Merah Tk. Petani (Rp/Kg);2024;Agustus;Rp36.569
Bawang Merah Tk. Petani (Rp/Kg);2024;Agustus;Rp21.773
Sapi Hidup (Rp/kg Berat Hidup);2024;Agustus;Rp51.690
Ayam Ras (Rp/Ekor Hidup);2024;Agustus;Rp22.137
Telur Ayam Ras (Rp/Kg);2024;Agustus;Rp24.074
GKP Tingkat Petani (Rp/Kg);2024;September;Rp6.416
GKP Tingkat Penggilingan (Rp/Kg);2024;September;Rp6.764
GKG Tingkat Penggilingan (Rp/Kg);2024;September;Rp7.400
Beras Medium Tk. Penggilingan (Rp/Kg);2024;September;Rp12.159
Beras Premium Tk. Penggilingan (Rp/Kg);2024;September;Rp13.671
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2024;September;Rp4.538
Kedelai Biji Kering Tk. Petani (Rp/Kg);2024;September;Rp9.594
Cabai Merah Keriting Tk.Petani (rp/Kg);2024;September;Rp20.256
Cabai Rawit Merah Tk. Petani (Rp/Kg);2024;September;Rp29.529
Bawang Merah Tk. Petani (Rp/Kg);2024;September;Rp15.399
Sapi Hidup (Rp/kg Berat Hidup);2024;September;Rp52.080
Ayam Ras (Rp/Ekor Hidup);2024;September;Rp20.864
Telur Ayam Ras (Rp/Kg);2024;September;Rp23.593
