Komoditas;Tahun;Bulan;Harga
Kedelai Biji Kering Tk. Petani (Rp/Kg);2020;Januari;Rp6.695
Cabai Merah Keriting Tk.Petani (rp/Kg);2020;Januari;Rp15.688
Cabai Rawit Merah Tk. Petani (Rp/Kg);2020;Januari;Rp20.550
Bawang Merah Tk. Petani (Rp/Kg);2020;Januari;Rp18.868
Sapi Hidup (Rp/kg Berat Hidup);2020;Januari;Rp47.487
Ayam Ras (Rp/Ekor Hidup);2020;Januari;Rp17.625
Telur Ayam Ras (Rp/Kg);2020;Januari;Rp20.504
GKP Tingkat Petani (Rp/Kg);2020;Februari;Rp4.818
GKP Tingkat Penggilingan (Rp/Kg);2020;Februari;Rp5.097
GKG Tingkat Penggilingan (Rp/Kg);2020;Februari;Rp5.716
Beras Medium Tk. Penggilingan (Rp/Kg);2020;Februari;Rp9.526
Beras Premium Tk. Penggilingan (Rp/Kg);2020;Februari;Rp10.755
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2020;Februari;Rp4.464
Kedelai Biji Kering Tk. Petani (Rp/Kg);2020;Februari;Rp6.697
Cabai Merah Keriting Tk.Petani (rp/Kg);2020;Februari;Rp12.081
Cabai Rawit Merah Tk. Petani (Rp/Kg);2020;Februari;Rp15.860
Bawang Merah Tk. Petani (Rp/Kg);2020;Februari;Rp15.860
Sapi Hidup (Rp/kg Berat Hidup);2020;Februari;Rp47.422
Ayam Ras (Rp/Ekor Hidup);2020;Februari;Rp17.469
Telur Ayam Ras (Rp/Kg);2020;Februari;Rp21.615
GKP Tingkat Petani (Rp/Kg);2020;Maret;Rp4.571
GKP Tingkat Penggilingan (Rp/Kg);2020;Maret;Rp4.862
GKG Tingkat Penggilingan (Rp/Kg);2020;Maret;Rp5.496
Beras Medium Tk. Penggilingan (Rp/Kg);2020;Maret;Rp9.381
Beras Premium Tk. Penggilingan (Rp/Kg);2020;Maret;Rp10.565
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2020;Maret;Rp3.842
Kedelai Biji Kering Tk. Petani (Rp/Kg);2020;Maret;Rp6.818
Cabai Merah Keriting Tk.Petani (rp/Kg);2020;Maret;Rp13.493
Cabai Rawit Merah Tk. Petani (Rp/Kg);2020;Maret;Rp18.252
Bawang Merah Tk. Petani (Rp/Kg);2020;Maret;Rp19.518
Sapi Hidup (Rp/kg Berat Hidup);2020;Maret;Rp47.575
Ayam Ras (Rp/Ekor Hidup);2020;Maret;Rp16.879
Telur Ayam Ras (Rp/Kg);2020;Maret;Rp22.120
GKP Tingkat Petani (Rp/Kg);2020;April;Rp4.444
GKP Tingkat Petani (Rp/Kg);2020;April;Rp4.686
